stage,point_id,x,y
1,0,0.0,0.0
1,1,0.0,1.0
1,2,0.0,2.0
1,3,0.0,3.0
1,4,0.0,4.0
1,5,0.0,5.0
1,6,0.0,6.0
1,7,0.0,7.0
1,8,0.0,8.0
1,9,0.0,9.0
1,10,0.0,10.0
1,11,0.0,11.0
1,12,0.0,12.0
1,13,0.0,13.0
1,14,0.0,14.0
1,15,0.0,15.0
1,16,0.0,16.0
1,17,0.0,17.0
1,18,0.0,18.0
1,19,0.0,19.0
1,20,0.0,20.0
1,21,0.0,21.0
1,22,0.0,22.0
1,23,0.0,23.0
1,24,0.0,24.0
1,25,0.0,25.0
1,26,0.0,26.0
1,27,0.0,27.0
1,28,0.0,28.0
1,29,0.0,29.0
1,30,0.0,30.0
1,31,0.0,31.0
1,32,0.0,32.0
1,33,0.0,33.0
1,34,0.0,34.0
1,35,0.0,35.0
1,36,0.0,36.0
1,37,0.0,37.0
1,38,0.0,38.0
1,39,0.0,39.0
1,40,0.0,40.0
1,41,0.0,41.0
1,42,0.0,42.0
1,43,0.0,43.0
1,44,0.0,44.0
1,45,0.0,45.0
1,46,0.0,46.0
1,47,0.0,47.0
1,48,0.0,48.0
1,49,0.0,49.0
1,50,0.0,50.0
1,51,0.0,51.0
1,52,0.0,52.0
1,53,0.0,53.0
1,54,0.0,54.0
1,55,0.0,55.0
1,56,0.0,56.0
1,57,0.0,57.0
1,58,0.0,58.0
1,59,0.0,59.0
1,60,0.0,60.0
1,61,0.0,61.0
1,62,0.0,62.0
1,63,0.0,63.0
1,64,0.0,64.0
1,65,0.0,65.0
1,66,0.0,66.0
1,67,0.0,67.0
1,68,0.0,68.0
1,69,0.0,69.0
1,70,0.0,70.0
1,71,0.0,71.0
1,72,0.0,72.0
1,73,0.0,73.0
1,74,0.0,74.0
1,75,0.0,75.0
1,76,0.0,76.0
1,77,0.0,77.0
1,78,0.0,78.0
1,79,0.0,79.0
1,80,0.0,80.0
1,81,0.0,81.0
1,82,0.0,82.0
1,83,0.0,83.0
1,84,0.0,84.0
1,85,0.0,85.0
1,86,0.0,86.0
1,87,0.0,87.0
1,88,0.0,88.0
1,89,0.0,89.0
1,90,0.0,90.0
1,91,0.0,91.0
1,92,0.0,92.0
1,93,0.0,93.0
1,94,0.0,94.0
1,95,0.0,95.0
1,96,0.0,96.0
1,97,0.0,97.0
1,98,0.0,98.0
1,99,0.0,99.0
1,100,1.0,0.0
1,101,1.0,1.0
1,102,1.0,2.0
1,103,1.0,3.0
1,104,1.0,4.0
1,105,1.0,5.0
1,106,1.0,6.0
1,107,1.0,7.0
1,108,1.0,8.0
1,109,1.0,9.0
1,110,1.0,10.0
1,111,1.0,11.0
1,112,1.0,12.0
1,113,1.0,13.0
1,114,1.0,14.0
1,115,1.0,15.0
1,116,1.0,16.0
1,117,1.0,17.0
1,118,1.0,18.0
1,119,1.0,19.0
1,120,1.0,20.0
1,121,1.0,21.0
1,122,1.0,22.0
1,123,1.0,23.0
1,124,1.0,24.0
1,125,1.0,25.0
1,126,1.0,26.0
1,127,1.0,27.0
1,128,1.0,28.0
1,129,1.0,29.0
1,130,1.0,30.0
1,131,1.0,31.0
1,132,1.0,32.0
1,133,1.0,33.0
1,134,1.0,34.0
1,135,1.0,35.0
1,136,1.0,36.0
1,137,1.0,37.0
1,138,1.0,38.0
1,139,1.0,39.0
1,140,1.0,40.0
1,141,1.0,41.0
1,142,1.0,42.0
1,143,1.0,43.0
1,144,1.0,44.0
1,145,1.0,45.0
1,146,1.0,46.0
1,147,1.0,47.0
1,148,1.0,48.0
1,149,1.0,49.0
1,150,1.0,50.0
1,151,1.0,51.0
1,152,1.0,52.0
1,153,1.0,53.0
1,154,1.0,54.0
1,155,1.0,55.0
1,156,1.0,56.0
1,157,1.0,57.0
1,158,1.0,58.0
1,159,1.0,59.0
1,160,1.0,60.0
1,161,1.0,61.0
1,162,1.0,62.0
1,163,1.0,63.0
1,164,1.0,64.0
1,165,1.0,65.0
1,166,1.0,66.0
1,167,1.0,67.0
1,168,1.0,68.0
1,169,1.0,69.0
1,170,1.0,70.0
1,171,1.0,71.0
1,172,1.0,72.0
1,173,1.0,73.0
1,174,1.0,74.0
1,175,1.0,75.0
1,176,1.0,76.0
1,177,1.0,77.0
1,178,1.0,78.0
1,179,1.0,79.0
1,180,1.0,80.0
1,181,1.0,81.0
1,182,1.0,82.0
1,183,1.0,83.0
1,184,1.0,84.0
1,185,1.0,85.0
1,186,1.0,86.0
1,187,1.0,87.0
1,188,1.0,88.0
1,189,1.0,89.0
1,190,1.0,90.0
1,191,1.0,91.0
1,192,1.0,92.0
1,193,1.0,93.0
1,194,1.0,94.0
1,195,1.0,95.0
1,196,1.0,96.0
1,197,1.0,97.0
1,198,1.0,98.0
1,199,1.0,99.0
1,200,2.0,0.0
1,201,2.0,1.0
1,202,2.0,2.0
1,203,2.0,3.0
1,204,2.0,4.0
1,205,2.0,5.0
1,206,2.0,6.0
1,207,2.0,7.0
1,208,2.0,8.0
1,209,2.0,9.0
1,210,2.0,10.0
1,211,2.0,11.0
1,212,2.0,12.0
1,213,2.0,13.0
1,214,2.0,14.0
1,215,2.0,15.0
1,216,2.0,16.0
1,217,2.0,17.0
1,218,2.0,18.0
1,219,2.0,19.0
1,220,2.0,20.0
1,221,2.0,21.0
1,222,2.0,22.0
1,223,2.0,23.0
1,224,2.0,24.0
1,225,2.0,25.0
1,226,2.0,26.0
1,227,2.0,27.0
1,228,2.0,28.0
1,229,2.0,29.0
1,230,2.0,30.0
1,231,2.0,31.0
1,232,2.0,32.0
1,233,2.0,33.0
1,234,2.0,34.0
1,235,2.0,35.0
1,236,2.0,36.0
1,237,2.0,37.0
1,238,2.0,38.0
1,239,2.0,39.0
1,240,2.0,40.0
1,241,2.0,41.0
1,242,2.0,42.0
1,243,2.0,43.0
1,244,2.0,44.0
1,245,2.0,45.0
1,246,2.0,46.0
1,247,2.0,47.0
1,248,2.0,48.0
1,249,2.0,49.0
1,250,2.0,50.0
1,251,2.0,51.0
1,252,2.0,52.0
1,253,2.0,53.0
1,254,2.0,54.0
1,255,2.0,55.0
1,256,2.0,56.0
1,257,2.0,57.0
1,258,2.0,58.0
1,259,2.0,59.0
1,260,2.0,60.0
1,261,2.0,61.0
1,262,2.0,62.0
1,263,2.0,63.0
1,264,2.0,64.0
1,265,2.0,65.0
1,266,2.0,66.0
1,267,2.0,67.0
1,268,2.0,68.0
1,269,2.0,69.0
1,270,2.0,70.0
1,271,2.0,71.0
1,272,2.0,72.0
1,273,2.0,73.0
1,274,2.0,74.0
1,275,2.0,75.0
1,276,2.0,76.0
1,277,2.0,77.0
1,278,2.0,78.0
1,279,2.0,79.0
1,280,2.0,80.0
1,281,2.0,81.0
1,282,2.0,82.0
1,283,2.0,83.0
1,284,2.0,84.0
1,285,2.0,85.0
1,286,2.0,86.0
1,287,2.0,87.0
1,288,2.0,88.0
1,289,2.0,89.0
1,290,2.0,90.0
1,291,2.0,91.0
1,292,2.0,92.0
1,293,2.0,93.0
1,294,2.0,94.0
1,295,2.0,95.0
1,296,2.0,96.0
1,297,2.0,97.0
1,298,2.0,98.0
1,299,2.0,99.0
1,300,3.0,0.0
1,301,3.0,1.0
1,302,3.0,2.0
1,303,3.0,3.0
1,304,3.0,4.0
1,305,3.0,5.0
1,306,3.0,6.0
1,307,3.0,7.0
1,308,3.0,8.0
1,309,3.0,9.0
1,310,3.0,10.0
1,311,3.0,11.0
1,312,3.0,12.0
1,313,3.0,13.0
1,314,3.0,14.0
1,315,3.0,15.0
1,316,3.0,16.0
1,317,3.0,17.0
1,318,3.0,18.0
1,319,3.0,19.0
1,320,3.0,20.0
1,321,3.0,21.0
1,322,3.0,22.0
1,323,3.0,23.0
1,324,3.0,24.0
1,325,3.0,25.0
1,326,3.0,26.0
1,327,3.0,27.0
1,328,3.0,28.0
1,329,3.0,29.0
1,330,3.0,30.0
1,331,3.0,31.0
1,332,3.0,32.0
1,333,3.0,33.0
1,334,3.0,34.0
1,335,3.0,35.0
1,336,3.0,36.0
1,337,3.0,37.0
1,338,3.0,38.0
1,339,3.0,39.0
1,340,3.0,40.0
1,341,3.0,41.0
1,342,3.0,42.0
1,343,3.0,43.0
1,344,3.0,44.0
1,345,3.0,45.0
1,346,3.0,46.0
1,347,3.0,47.0
1,348,3.0,48.0
1,349,3.0,49.0
1,350,3.0,50.0
1,351,3.0,51.0
1,352,3.0,52.0
1,353,3.0,53.0
1,354,3.0,54.0
1,355,3.0,55.0
1,356,3.0,56.0
1,357,3.0,57.0
1,358,3.0,58.0
1,359,3.0,59.0
1,360,3.0,60.0
1,361,3.0,61.0
1,362,3.0,62.0
1,363,3.0,63.0
1,364,3.0,64.0
1,365,3.0,65.0
1,366,3.0,66.0
1,367,3.0,67.0
1,368,3.0,68.0
1,369,3.0,69.0
1,370,3.0,70.0
1,371,3.0,71.0
1,372,3.0,72.0
1,373,3.0,73.0
1,374,3.0,74.0
1,375,3.0,75.0
1,376,3.0,76.0
1,377,3.0,77.0
1,378,3.0,78.0
1,379,3.0,79.0
1,380,3.0,80.0
1,381,3.0,81.0
1,382,3.0,82.0
1,383,3.0,83.0
1,384,3.0,84.0
1,385,3.0,85.0
1,386,3.0,86.0
1,387,3.0,87.0
1,388,3.0,88.0
1,389,3.0,89.0
1,390,3.0,90.0
1,391,3.0,91.0
1,392,3.0,92.0
1,393,3.0,93.0
1,394,3.0,94.0
1,395,3.0,95.0
1,396,3.0,96.0
1,397,3.0,97.0
1,398,3.0,98.0
1,399,3.0,99.0
1,400,4.0,0.0
1,401,4.0,1.0
1,402,4.0,2.0
1,403,4.0,3.0
1,404,4.0,4.0
1,405,4.0,5.0
1,406,4.0,6.0
1,407,4.0,7.0
1,408,4.0,8.0
1,409,4.0,9.0
1,410,4.0,10.0
1,411,4.0,11.0
1,412,4.0,12.0
1,413,4.0,13.0
1,414,4.0,14.0
1,415,4.0,15.0
1,416,4.0,16.0
1,417,4.0,17.0
1,418,4.0,18.0
1,419,4.0,19.0
1,420,4.0,20.0
1,421,4.0,21.0
1,422,4.0,22.0
1,423,4.0,23.0
1,424,4.0,24.0
1,425,4.0,25.0
1,426,4.0,26.0
1,427,4.0,27.0
1,428,4.0,28.0
1,429,4.0,29.0
1,430,4.0,30.0
1,431,4.0,31.0
1,432,4.0,32.0
1,433,4.0,33.0
1,434,4.0,34.0
1,435,4.0,35.0
1,436,4.0,36.0
1,437,4.0,37.0
1,438,4.0,38.0
1,439,4.0,39.0
1,440,4.0,40.0
1,441,4.0,41.0
1,442,4.0,42.0
1,443,4.0,43.0
1,444,4.0,44.0
1,445,4.0,45.0
1,446,4.0,46.0
1,447,4.0,47.0
1,448,4.0,48.0
1,449,4.0,49.0
1,450,4.0,50.0
1,451,4.0,51.0
1,452,4.0,52.0
1,453,4.0,53.0
1,454,4.0,54.0
1,455,4.0,55.0
1,456,4.0,56.0
1,457,4.0,57.0
1,458,4.0,58.0
1,459,4.0,59.0
1,460,4.0,60.0
1,461,4.0,61.0
1,462,4.0,62.0
1,463,4.0,63.0
1,464,4.0,64.0
1,465,4.0,65.0
1,466,4.0,66.0
1,467,4.0,67.0
1,468,4.0,68.0
1,469,4.0,69.0
1,470,4.0,70.0
1,471,4.0,71.0
1,472,4.0,72.0
1,473,4.0,73.0
1,474,4.0,74.0
1,475,4.0,75.0
1,476,4.0,76.0
1,477,4.0,77.0
1,478,4.0,78.0
1,479,4.0,79.0
1,480,4.0,80.0
1,481,4.0,81.0
1,482,4.0,82.0
1,483,4.0,83.0
1,484,4.0,84.0
1,485,4.0,85.0
1,486,4.0,86.0
1,487,4.0,87.0
1,488,4.0,88.0
1,489,4.0,89.0
1,490,4.0,90.0
1,491,4.0,91.0
1,492,4.0,92.0
1,493,4.0,93.0
1,494,4.0,94.0
1,495,4.0,95.0
1,496,4.0,96.0
1,497,4.0,97.0
1,498,4.0,98.0
1,499,4.0,99.0
1,500,5.0,0.0
1,501,5.0,1.0
1,502,5.0,2.0
1,503,5.0,3.0
1,504,5.0,4.0
1,505,5.0,5.0
1,506,5.0,6.0
1,507,5.0,7.0
1,508,5.0,8.0
1,509,5.0,9.0
1,510,5.0,10.0
1,511,5.0,11.0
1,512,5.0,12.0
1,513,5.0,13.0
1,514,5.0,14.0
1,515,5.0,15.0
1,516,5.0,16.0
1,517,5.0,17.0
1,518,5.0,18.0
1,519,5.0,19.0
1,520,5.0,20.0
1,521,5.0,21.0
1,522,5.0,22.0
1,523,5.0,23.0
1,524,5.0,24.0
1,525,5.0,25.0
1,526,5.0,26.0
1,527,5.0,27.0
1,528,5.0,28.0
1,529,5.0,29.0
1,530,5.0,30.0
1,531,5.0,31.0
1,532,5.0,32.0
1,533,5.0,33.0
1,534,5.0,34.0
1,535,5.0,35.0
1,536,5.0,36.0
1,537,5.0,37.0
1,538,5.0,38.0
1,539,5.0,39.0
1,540,5.0,40.0
1,541,5.0,41.0
1,542,5.0,42.0
1,543,5.0,43.0
1,544,5.0,44.0
1,545,5.0,45.0
1,546,5.0,46.0
1,547,5.0,47.0
1,548,5.0,48.0
1,549,5.0,49.0
1,550,5.0,50.0
1,551,5.0,51.0
1,552,5.0,52.0
1,553,5.0,53.0
1,554,5.0,54.0
1,555,5.0,55.0
1,556,5.0,56.0
1,557,5.0,57.0
1,558,5.0,58.0
1,559,5.0,59.0
1,560,5.0,60.0
1,561,5.0,61.0
1,562,5.0,62.0
1,563,5.0,63.0
1,564,5.0,64.0
1,565,5.0,65.0
1,566,5.0,66.0
1,567,5.0,67.0
1,568,5.0,68.0
1,569,5.0,69.0
1,570,5.0,70.0
1,571,5.0,71.0
1,572,5.0,72.0
1,573,5.0,73.0
1,574,5.0,74.0
1,575,5.0,75.0
1,576,5.0,76.0
1,577,5.0,77.0
1,578,5.0,78.0
1,579,5.0,79.0
1,580,5.0,80.0
1,581,5.0,81.0
1,582,5.0,82.0
1,583,5.0,83.0
1,584,5.0,84.0
1,585,5.0,85.0
1,586,5.0,86.0
1,587,5.0,87.0
1,588,5.0,88.0
1,589,5.0,89.0
1,590,5.0,90.0
1,591,5.0,91.0
1,592,5.0,92.0
1,593,5.0,93.0
1,594,5.0,94.0
1,595,5.0,95.0
1,596,5.0,96.0
1,597,5.0,97.0
1,598,5.0,98.0
1,599,5.0,99.0
1,600,6.0,0.0
1,601,6.0,1.0
1,602,6.0,2.0
1,603,6.0,3.0
1,604,6.0,4.0
1,605,6.0,5.0
1,606,6.0,6.0
1,607,6.0,7.0
1,608,6.0,8.0
1,609,6.0,9.0
1,610,6.0,10.0
1,611,6.0,11.0
1,612,6.0,12.0
1,613,6.0,13.0
1,614,6.0,14.0
1,615,6.0,15.0
1,616,6.0,16.0
1,617,6.0,17.0
1,618,6.0,18.0
1,619,6.0,19.0
1,620,6.0,20.0
1,621,6.0,21.0
1,622,6.0,22.0
1,623,6.0,23.0
1,624,6.0,24.0
1,625,6.0,25.0
1,626,6.0,26.0
1,627,6.0,27.0
1,628,6.0,28.0
1,629,6.0,29.0
1,630,6.0,30.0
1,631,6.0,31.0
1,632,6.0,32.0
1,633,6.0,33.0
